Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-16;Mardi;18:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;26
2017-05-16;Mardi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;26
2017-05-16;Mardi;19:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;28
2017-05-16;Mardi;19:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;23
2017-05-16;Mardi;19:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;56
2017-05-16;Mardi;19:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-16;Mardi;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-16;Mardi;20:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;26
2017-05-16;Mardi;21:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;104
2017-05-16;Mardi;22:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;75
2017-05-16;Mardi;22:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;32
2017-05-16;Mardi;22:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-16;Mardi;22:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;23
2017-05-16;Mardi;22:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;39
2017-05-16;Mardi;23:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;26
2017-05-17;Mercredi;00:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;00:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;38
2017-05-17;Mercredi;00:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;38
2017-05-17;Mercredi;01:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;01:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;55
2017-05-17;Mercredi;03:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;58
2017-05-17;Mercredi;07:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;111
2017-05-17;Mercredi;07:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;07:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;59
2017-05-17;Mercredi;08:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;08:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;63
2017-05-17;Mercredi;09:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;26
2017-05-17;Mercredi;09:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-17;Mercredi;09:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;11:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;31
2017-05-17;Mercredi;11:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;45
2017-05-17;Mercredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;38
2017-05-17;Mercredi;12:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;31
2017-05-17;Mercredi;13:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-17;Mercredi;13:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;14:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-17;Mercredi;14:30:00;Zone FIMU;Present;Amérique;États-Unis;Touriste Etranger;Periode normale;51
2017-05-17;Mercredi;15:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;26
2017-05-17;Mercredi;15:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;123
2017-05-17;Mercredi;15:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-17;Mercredi;16:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;29
2017-05-17;Mercredi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;93
2017-05-17;Mercredi;17:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;27
