Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-20;Samedi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;47
2017-05-20;Samedi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;252
2017-05-20;Samedi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;32
2017-05-20;Samedi;Veille;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;368
2017-05-20;Samedi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;97
2017-05-20;Samedi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;308
2017-05-20;Samedi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;658
2017-05-20;Samedi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;27
2017-05-20;Samedi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;107
2017-05-20;Samedi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;7790
2017-05-20;Samedi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;97
2017-05-20;Samedi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2545
2017-05-20;Samedi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;71
2017-05-21;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;690
2017-05-21;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;32
2017-05-21;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;154
2017-05-21;Dimanche;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;71
2017-05-21;Dimanche;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;27
2017-05-21;Dimanche;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;39
2017-05-21;Dimanche;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;256
2017-05-21;Dimanche;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;43
