Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-17;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;112
2017-05-17;Mercredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;667
2017-05-17;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-17;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;53
2017-05-17;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;105
2017-05-17;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;277
2017-05-17;Mercredi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;331
2017-05-17;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;153
2017-05-17;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;53
2017-05-17;Mercredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;423
2017-05-17;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;813
2017-05-17;Mercredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;333
2017-05-17;Mercredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8234
2017-05-17;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;127
2017-05-17;Mercredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2983
2017-05-17;Mercredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;23
2017-05-18;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2026
2017-05-18;Jeudi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;552
2017-05-18;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;51
2017-05-18;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
