Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-14;Dimanche;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Excursionniste;Periode normale;28
2017-05-14;Dimanche;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Visiteur;Periode normale;385
2017-05-14;Dimanche;Zone FIMU;Populaire;rural traditionnel;Resident;Visiteur;Periode normale;159
2017-05-14;Dimanche;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Excursionniste;Periode normale;65
2017-05-14;Dimanche;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Visiteur;Periode normale;218
2017-05-14;Dimanche;Zone FIMU;Populaire;urbain defavorise;Resident;Excursionniste;Periode normale;62
2017-05-14;Dimanche;Zone FIMU;Populaire;urbain defavorise;Resident;Visiteur;Periode normale;915
2017-05-14;Dimanche;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Visiteur;Periode normale;137
2017-05-15;Lundi;Zone FIMU;CSP en croissance;NR;Resident;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;CSP en croissance;NR;Touriste Français;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Excursionniste;Periode normale;203
2017-05-15;Lundi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Visiteur;Periode normale;1472
2017-05-15;Lundi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;108
2017-05-15;Lundi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;573
2017-05-15;Lundi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;#
2017-05-15;Lundi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;451
2017-05-15;Lundi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;4017
2017-05-15;Lundi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;77
2017-05-15;Lundi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;405
2017-05-15;Lundi;Zone FIMU;CSP+;NR;Resident;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;CSP+;NR;Touriste Français;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Excursionniste;Periode normale;91
2017-05-15;Lundi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;1050
2017-05-15;Lundi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Excursionniste;Periode normale;120
2017-05-15;Lundi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;728
2017-05-15;Lundi;Zone FIMU;CSP+;rural dynamique;Resident;Excursionniste;Periode normale;82
2017-05-15;Lundi;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;475
2017-05-15;Lundi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;87
2017-05-15;Lundi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;527
2017-05-15;Lundi;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;335
2017-05-15;Lundi;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;3136
2017-05-15;Lundi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Excursionniste;Periode normale;31
2017-05-15;Lundi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Visiteur;Periode normale;146
2017-05-15;Lundi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;Visiteur;Periode normale;136
2017-05-15;Lundi;Zone FIMU;NR;NR;Resident;Visiteur;Periode normale;177
2017-05-15;Lundi;Zone FIMU;NR;NR;Touriste Français;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;NR;NR;Touriste Français;Visiteur;Periode normale;3335
2017-05-15;Lundi;Zone FIMU;Populaire;NR;Resident;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;Populaire;NR;Touriste Français;Excursionniste;Periode normale;59
2017-05-15;Lundi;Zone FIMU;Populaire;populaire;Resident;Excursionniste;Periode normale;167
2017-05-15;Lundi;Zone FIMU;Populaire;populaire;Resident;Visiteur;Periode normale;1689
2017-05-15;Lundi;Zone FIMU;Populaire;populaire;Touriste Français;Visiteur;Periode normale;375
2017-05-15;Lundi;Zone FIMU;Populaire;rural ouvrier;Resident;Excursionniste;Periode normale;46
2017-05-15;Lundi;Zone FIMU;Populaire;rural ouvrier;Resident;Visiteur;Periode normale;380
2017-05-15;Lundi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Excursionniste;Periode normale;130
2017-05-15;Lundi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Visiteur;Periode normale;771
2017-05-15;Lundi;Zone FIMU;Populaire;rural traditionnel;Resident;Excursionniste;Periode normale;64
2017-05-15;Lundi;Zone FIMU;Populaire;rural traditionnel;Resident;Visiteur;Periode normale;603
2017-05-15;Lundi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Excursionniste;Periode normale;62
