Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-12;Vendredi;15:00:00;Zone FIMU;Present;Resident;Periode normale;9845
2017-05-12;Vendredi;15:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3043
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Resident;Periode normale;9558
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;50
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2517
2017-05-12;Vendredi;16:00:00;Zone FIMU;Present;Resident;Periode normale;9617
2017-05-12;Vendredi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2580
2017-05-12;Vendredi;16:30:00;Zone FIMU;Present;Resident;Periode normale;9161
2017-05-12;Vendredi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2840
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Resident;Periode normale;9387
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2987
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Resident;Periode normale;9010
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;46
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3001
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Resident;Periode normale;9251
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;55
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1913
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Resident;Periode normale;7669
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;33
