Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-31;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;864
2017-05-31;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;7627
2017-05-31;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;325
2017-05-31;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2105
2017-05-31;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;644
2017-05-31;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6733
2017-05-31;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;268
2017-05-31;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2084
2017-05-31;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;202
2017-05-31;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;365
2017-05-31;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;197
2017-05-31;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3163
2017-06-01;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;683
2017-06-01;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode evenement;8152
2017-06-01;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;295
2017-06-01;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;2193
2017-06-01;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;804
2017-06-01;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode evenement;7337
2017-06-01;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;246
2017-06-01;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;2021
2017-06-01;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;141
2017-06-01;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;430
2017-06-01;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;150
2017-06-01;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;2999
2017-06-02;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;852
2017-06-02;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode evenement;9507
2017-06-02;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;267
2017-06-02;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;2636
2017-06-02;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;959
2017-06-02;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode evenement;7969
2017-06-02;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;287
2017-06-02;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;2710
2017-06-02;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;237
2017-06-02;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;1840
