Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-10;Mardi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13761
2016-05-10;Mardi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3843
2016-05-10;Mardi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2072
2016-05-10;Mardi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;637
2016-05-10;Mardi;F;Visiteur;Journee;Résident ;All-FIMU;7021
2016-05-10;Mardi;F;Visiteur;Journee;Touriste Français;All-FIMU;1741
2016-05-10;Mardi;F;Excursionniste;Journee;Résident ;All-FIMU;941
2016-05-10;Mardi;F;Excursionniste;Journee;Touriste Français;All-FIMU;296
2016-05-10;Mardi;H;Visiteur;Journee;Résident ;All-FIMU;6340
2016-05-10;Mardi;H;Visiteur;Journee;Touriste Français;All-FIMU;1996
2016-05-10;Mardi;H;Excursionniste;Journee;Résident ;All-FIMU;1061
2016-05-10;Mardi;H;Excursionniste;Journee;Touriste Français;All-FIMU;322
2016-05-10;Mardi;NR;Visiteur;Journee;Résident ;All-FIMU;400
2016-05-10;Mardi;NR;Visiteur;Journee;Touriste Français;All-FIMU;106
2016-05-10;Mardi;NR;Excursionniste;Journee;Résident ;All-FIMU;70
2016-05-10;Mardi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-11;Mercredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13986
2016-05-11;Mercredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3870
2016-05-11;Mercredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2244
2016-05-11;Mercredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;580
2016-05-11;Mercredi;F;Visiteur;Journee;Résident ;All-FIMU;7249
2016-05-11;Mercredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1785
2016-05-11;Mercredi;F;Excursionniste;Journee;Résident ;All-FIMU;1112
