Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;59
2016-04-26;Mardi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;40
2016-04-26;Mardi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;414
2016-04-26;Mardi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;879
2016-04-26;Mardi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-26;Mardi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;253
2016-04-26;Mardi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;591
2016-04-26;Mardi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;181
2016-04-26;Mardi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;78
2016-04-26;Mardi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;40
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;3282
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;369
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;492
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-26;Mardi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;887
2016-04-26;Mardi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;153
2016-04-26;Mardi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;207
2016-04-26;Mardi;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;46
