Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;Visiteur;10J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;10J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;10J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;11J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;11J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;11J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;12J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;12J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;12J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;13J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;13J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;13J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;14J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;14J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;14J;Touriste Etranger;All-FIMU;3154
2016-04-27;Mercredi;Visiteur;1J;Résident ;All-FIMU;13097
2016-04-27;Mercredi;Visiteur;1J;Touriste Français;All-FIMU;3406
2016-04-27;Mercredi;Visiteur;1J;Touriste Etranger;All-FIMU;979
2016-04-27;Mercredi;Visiteur;2J;Résident ;All-FIMU;18496
2016-04-27;Mercredi;Visiteur;2J;Touriste Français;All-FIMU;5135
2016-04-27;Mercredi;Visiteur;2J;Touriste Etranger;All-FIMU;1511
2016-04-27;Mercredi;Visiteur;3J;Résident ;All-FIMU;21842
2016-04-27;Mercredi;Visiteur;3J;Touriste Français;All-FIMU;6375
2016-04-27;Mercredi;Visiteur;3J;Touriste Etranger;All-FIMU;1991
2016-04-27;Mercredi;Visiteur;4J;Résident ;All-FIMU;23332
2016-04-27;Mercredi;Visiteur;4J;Touriste Français;All-FIMU;7375
2016-04-27;Mercredi;Visiteur;4J;Touriste Etranger;All-FIMU;2361
2016-04-27;Mercredi;Visiteur;5J;Résident ;All-FIMU;25859
2016-04-27;Mercredi;Visiteur;5J;Touriste Français;All-FIMU;9077
2016-04-27;Mercredi;Visiteur;5J;Touriste Etranger;All-FIMU;2872
2016-04-27;Mercredi;Visiteur;6J;Résident ;All-FIMU;29314
2016-04-27;Mercredi;Visiteur;6J;Touriste Français;All-FIMU;10779
2016-04-27;Mercredi;Visiteur;6J;Touriste Etranger;All-FIMU;3266
2016-04-27;Mercredi;Visiteur;7J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;7J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;7J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;8J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;8J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;8J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;9J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;9J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;9J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;10J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;10J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;10J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;11J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;11J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;11J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;12J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;12J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;12J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;13J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;13J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;13J;Touriste Etranger;All-FIMU;3649
2016-04-27;Mercredi;Visiteur;14J;Résident ;All-FIMU;31732
2016-04-27;Mercredi;Visiteur;14J;Touriste Français;All-FIMU;12250
2016-04-27;Mercredi;Visiteur;14J;Touriste Etranger;All-FIMU;3649
2016-04-28;Jeudi;Visiteur;1J;Résident ;All-FIMU;14140
2016-04-28;Jeudi;Visiteur;1J;Touriste Français;All-FIMU;3933
2016-04-28;Jeudi;Visiteur;1J;Touriste Etranger;All-FIMU;808
2016-04-28;Jeudi;Visiteur;2J;Résident ;All-FIMU;19199
2016-04-28;Jeudi;Visiteur;2J;Touriste Français;All-FIMU;5726
2016-04-28;Jeudi;Visiteur;2J;Touriste Etranger;All-FIMU;1500
2016-04-28;Jeudi;Visiteur;3J;Résident ;All-FIMU;22727
2016-04-28;Jeudi;Visiteur;3J;Touriste Français;All-FIMU;7035
2016-04-28;Jeudi;Visiteur;3J;Touriste Etranger;All-FIMU;1943
2016-04-28;Jeudi;Visiteur;4J;Résident ;All-FIMU;25375
2016-04-28;Jeudi;Visiteur;4J;Touriste Français;All-FIMU;8134
2016-04-28;Jeudi;Visiteur;4J;Touriste Etranger;All-FIMU;2400
2016-04-28;Jeudi;Visiteur;5J;Résident ;All-FIMU;26719
2016-04-28;Jeudi;Visiteur;5J;Touriste Français;All-FIMU;9095
2016-04-28;Jeudi;Visiteur;5J;Touriste Etranger;All-FIMU;2758
2016-04-28;Jeudi;Visiteur;6J;Résident ;All-FIMU;29080
2016-04-28;Jeudi;Visiteur;6J;Touriste Français;All-FIMU;10746
2016-04-28;Jeudi;Visiteur;6J;Touriste Etranger;All-FIMU;3255
2016-04-28;Jeudi;Visiteur;7J;Résident ;All-FIMU;32134
2016-04-28;Jeudi;Visiteur;7J;Touriste Français;All-FIMU;12424
2016-04-28;Jeudi;Visiteur;7J;Touriste Etranger;All-FIMU;3621
2016-04-28;Jeudi;Visiteur;8J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;8J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;8J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;9J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;9J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;9J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;10J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;10J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;10J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;11J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;11J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;11J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;12J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;12J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;12J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;13J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;13J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;13J;Touriste Etranger;All-FIMU;3991
2016-04-28;Jeudi;Visiteur;14J;Résident ;All-FIMU;34337
2016-04-28;Jeudi;Visiteur;14J;Touriste Français;All-FIMU;13840
2016-04-28;Jeudi;Visiteur;14J;Touriste Etranger;All-FIMU;3991
2016-04-29;Vendredi;Visiteur;1J;Résident ;All-FIMU;14690
