Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;19:30:00;Présent;Touriste Français;All-FIMU;1838
2016-04-26;Mardi;19:30:00;Présent;Touriste Etranger;All-FIMU;529
2016-04-26;Mardi;20:00:00;Présent;Résident ;All-FIMU;6747
2016-04-26;Mardi;20:00:00;Présent;Touriste Français;All-FIMU;1723
2016-04-26;Mardi;20:00:00;Présent;Touriste Etranger;All-FIMU;478
2016-04-26;Mardi;20:30:00;Présent;Résident ;All-FIMU;6394
2016-04-26;Mardi;20:30:00;Présent;Touriste Français;All-FIMU;1625
2016-04-26;Mardi;20:30:00;Présent;Touriste Etranger;All-FIMU;493
2016-04-26;Mardi;21:00:00;Présent;Résident ;All-FIMU;6099
2016-04-26;Mardi;21:00:00;Présent;Touriste Français;All-FIMU;1505
2016-04-26;Mardi;21:00:00;Présent;Touriste Etranger;All-FIMU;499
2016-04-26;Mardi;21:30:00;Présent;Résident ;All-FIMU;5710
2016-04-26;Mardi;21:30:00;Présent;Touriste Français;All-FIMU;1320
2016-04-26;Mardi;21:30:00;Présent;Touriste Etranger;All-FIMU;493
2016-04-26;Mardi;22:00:00;Présent;Résident ;All-FIMU;5327
2016-04-26;Mardi;22:00:00;Présent;Touriste Français;All-FIMU;1137
2016-04-26;Mardi;22:00:00;Présent;Touriste Etranger;All-FIMU;476
2016-04-26;Mardi;22:30:00;Présent;Résident ;All-FIMU;5208
