Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-28;Jeudi;Duree6h;Touriste Français;All-FIMU;421
2016-04-28;Jeudi;Duree6h;Touriste Etranger;All-FIMU;48
2016-04-28;Jeudi;Duree7h;Résident ;All-FIMU;928
2016-04-28;Jeudi;Duree7h;Touriste Français;All-FIMU;263
2016-04-28;Jeudi;Duree7h;Touriste Etranger;All-FIMU;38
2016-04-28;Jeudi;Duree8h;Résident ;All-FIMU;760
2016-04-28;Jeudi;Duree8h;Touriste Français;All-FIMU;209
2016-04-28;Jeudi;Duree8h;Touriste Etranger;All-FIMU;#
2016-04-28;Jeudi;Duree9h;Résident ;All-FIMU;642
2016-04-28;Jeudi;Duree9h;Touriste Français;All-FIMU;102
2016-04-28;Jeudi;Duree9h;Touriste Etranger;All-FIMU;21
2016-04-28;Jeudi;Duree10h;Résident ;All-FIMU;365
2016-04-28;Jeudi;Duree10h;Touriste Français;All-FIMU;31
2016-04-28;Jeudi;Duree10h;Touriste Etranger;All-FIMU;#
2016-04-28;Jeudi;Duree10h-18h;Résident ;All-FIMU;1887
2016-04-28;Jeudi;Duree10h-18h;Touriste Français;All-FIMU;202
2016-04-28;Jeudi;Duree10h-18h;Touriste Etranger;All-FIMU;75
2016-04-29;Vendredi;Duree1h;Résident ;All-FIMU;5134
2016-04-29;Vendredi;Duree1h;Touriste Français;All-FIMU;1796
2016-04-29;Vendredi;Duree1h;Touriste Etranger;All-FIMU;391
2016-04-29;Vendredi;Duree2h;Résident ;All-FIMU;2849
2016-04-29;Vendredi;Duree2h;Touriste Français;All-FIMU;950
2016-04-29;Vendredi;Duree2h;Touriste Etranger;All-FIMU;141
2016-04-29;Vendredi;Duree3h;Résident ;All-FIMU;2898
2016-04-29;Vendredi;Duree3h;Touriste Français;All-FIMU;807
2016-04-29;Vendredi;Duree3h;Touriste Etranger;All-FIMU;190
2016-04-29;Vendredi;Duree4h;Résident ;All-FIMU;2077
2016-04-29;Vendredi;Duree4h;Touriste Français;All-FIMU;650
2016-04-29;Vendredi;Duree4h;Touriste Etranger;All-FIMU;324
2016-04-29;Vendredi;Duree5h;Résident ;All-FIMU;1197
2016-04-29;Vendredi;Duree5h;Touriste Français;All-FIMU;366
