Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-29;Vendredi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;435
2016-04-29;Vendredi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;75
2016-04-29;Vendredi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;3412
2016-04-29;Vendredi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;1004
2016-04-29;Vendredi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;524
2016-04-29;Vendredi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;150
2016-04-29;Vendredi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2779
2016-04-29;Vendredi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;695
2016-04-29;Vendredi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;474
2016-04-29;Vendredi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;102
2016-04-29;Vendredi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;3056
2016-04-29;Vendredi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;484
2016-04-29;Vendredi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;543
2016-04-29;Vendredi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;123
2016-04-29;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;1691
2016-04-29;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;407
2016-04-29;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;306
2016-04-29;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;88
2016-04-30;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;11128
2016-04-30;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3473
2016-04-30;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1768
2016-04-30;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;608
