Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;8J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;9J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;9J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;10J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;10J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;11J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;11J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;12J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;12J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;13J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;13J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;14J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;14J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;1J;Résident ;All-FIMU;3150
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;1J;Touriste Français;All-FIMU;374
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;2J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;2J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;3J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;3J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;4J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;4J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;5J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;5J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;6J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;6J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;7J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;7J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;8J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;8J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;9J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;9J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;10J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;10J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;11J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;11J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;12J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;12J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;13J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;13J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;14J;Résident ;All-FIMU;4033
2016-04-22;Vendredi;urbain classe moyenne;CSP en croissance;Visiteur;14J;Touriste Français;All-FIMU;614
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;1J;Résident ;All-FIMU;991
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;1J;Touriste Français;All-FIMU;131
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;2J;Résident ;All-FIMU;1530
2016-04-22;Vendredi;urbain defavorise;Populaire;Visiteur;2J;Touriste Français;All-FIMU;234
